node_id,node_name,mesh_ui,node_type
N1839,bronchial spasm,D001986,Disease
N1840,phlebography,D010690,Technique
N1841,"dyspnea, paroxysmal",D004418,Disease
N1842,pulmonary diffusing capacity,D011653,Technique
N1843,vital capacity,D014797,Technique
N1844,"arthritis, juvenile",D001171,Disease
N1845,"arthritis, reactive",D016918,Disease
N1846,clinical laboratory techniques,D019411,Technique
N1847,complement system proteins,D003165,Chemical
N1848,polymyalgia rheumatica,D011111,Disease
N1849,rheumatic fever,D012213,Disease
N1850,synovial fluid,D013582,Anatomy
N1851,drug incompatibility,D004344,Technique
N1852,burimamide,D002049,Chemical
N1853,histamine,D006632,Chemical
N1854,promethazine,D011398,Chemical
N1855,"receptors, drug",D011955,Chemical
N1856,atrial flutter,D001282,Disease
N1857,choice behavior,D002755,Other
N1858,digitalis,D004070,Other
N1859,electricity,D004560,Biological_Process
N1860,emergencies,D004630,Disease
N1861,"pacemaker, artificial",D010138,Technique
N1862,"plants, toxic",D010947,Other
N1863,erectile dysfunction,D007172,Disease
N1864,fructose,D005632,Chemical
N1865,prostate,D011467,Anatomy
N1866,semen,D012661,Anatomy
N1867,"sexual dysfunction, physiological",D012735,Disease
N1868,sperm motility,D013081,Technique
N1869,spermatozoa,D013094,Anatomy
N1870,varicocele,D014646,Disease
N1871,central nervous system,D002490,Anatomy
N1872,"injections, intraperitoneal",D007274,Technique
N1873,lymphatic diseases,D008206,Disease
N1874,phonocardiography,D010701,Technique
N1875,skin manifestations,D012877,Disease
N1876,thoracic arteries,D013895,Anatomy
N1877,axillary artery,D001366,Anatomy
N1878,blood pressure determination,D001795,Technique
N1879,chromonar,D002866,Chemical
N1880,dextrans,D003911,Chemical
N1881,platelet adhesiveness,D010973,Biological_Process
N1882,pyrimidines,D011743,Chemical
N1883,tranquilizing agents,D014149,Chemical
N1884,apnea,D001049,Disease
N1885,"infant, premature, diseases",D007235,Disease
N1886,theophylline,D013806,Chemical
N1887,biological assay,D001681,Technique
N1888,amylases,D000681,Chemical
N1889,atropine,D001285,Chemical
N1890,"ganglia, autonomic",D005725,Anatomy
N1891,parotid gland,D010306,Anatomy
N1892,rna,D012313,Chemical
N1893,salivary gland diseases,D012466,Disease
N1894,salivary glands,D012469,Anatomy
N1895,submandibular gland,D013363,Anatomy
N1896,"biopsy, needle",D001707,Technique
N1897,glucosephosphates,D005958,Chemical
N1898,antiemetics,D000932,Chemical
N1899,ear diseases,D004427,Disease
N1900,hypnotics and sedatives,D006993,Chemical
N1901,hyperventilation,D006985,Disease
N1902,blepharoptosis,D001763,Disease
N1903,cryptorchidism,D003456,Disease
N1904,hypertelorism,D006972,Disease
N1905,"nose deformities, acquired",D009667,Disease
N1906,prognathism,D011378,Disease
N1907,anti-anxiety agents,D014151,Chemical
N1908,brain abscess,D001922,Disease
N1909,psychophysiologic disorders,D011602,Disease
N1910,vascular headaches,D014653,Disease
N1911,phosphofructokinase-1,D010732,Chemical
N1912,blood-brain barrier,D001812,Anatomy
N1913,angiotensinogen,D000808,Chemical
N1914,drug storage,D004356,Technique
N1915,enzyme precursors,D004792,Chemical
N1916,chlorides,D002712,Chemical
N1917,creatine,D003401,Chemical
N1918,papio,D010215,Other
N1919,glucagon,D005934,Chemical
N1920,ear,D004423,Anatomy
N1921,massage,D008405,Technique
N1922,aldehydes,D000447,Chemical
N1923,buffers,D002021,Chemical
N1924,colorimetry,D003124,Technique
N1925,"electrophoresis, agar gel",D004587,Technique
N1926,naphthols,D009284,Chemical
N1927,thyroid diseases,D013959,Disease
N1928,guanylate cyclase,D006162,Chemical
N1929,gastroenteritis,D005759,Disease
N1930,jejunum,D007583,Anatomy
N1931,stomach,D013270,Anatomy
N1932,aggression,D000374,Other
N1933,antipsychotic agents,D014150,Chemical
N1934,"bulbar palsy, progressive",D010244,Disease
N1935,confusion,D003221,Disease
N1936,deglutition disorders,D003680,Disease
N1937,memory disorders,D008569,Disease
N1938,phenothiazines,D010640,Chemical
N1939,family practice,D005194,Other
N1940,ethers,D004987,Chemical
N1941,mitosis,D008938,Biological_Process
N1942,thymidine,D013936,Chemical
N1943,"anesthesia, inhalation",D000769,Technique
N1944,nitrous oxide,D009609,Chemical
N1945,succinylcholine,D013390,Chemical
N1946,thiopental,D013874,Chemical
N1947,enflurane,D004737,Chemical
N1948,methoxyflurane,D008733,Chemical
N1949,methyl ethers,D008738,Chemical
N1950,achilles tendon,D000125,Anatomy
N1951,"casts, surgical",D002370,Technique
N1952,fibula,D005360,Anatomy
N1953,foot injuries,D018409,Disease
N1954,immobilization,D007103,Technique
N1955,joint dislocations,D004204,Disease
N1956,knee injuries,D007718,Disease
N1957,naval medicine,D009326,Other
N1958,rupture,D012421,Disease
N1959,tibia,D013977,Anatomy
N1960,tibial fractures,D013978,Disease
N1961,membrane potentials,D008564,Biological_Process
N1962,potentiometry,D011199,Technique
N1963,rectum,D012007,Anatomy
N1964,triterpenes,D014315,Chemical
N1965,pulmonary ventilation,D012123,Technique
N1966,c-reactive protein,D002097,Chemical
N1967,complement c3,D003176,Chemical
N1968,immunoglobulins,D007136,Chemical
N1969,properdin,D011414,Chemical
N1970,chlorisondamine,D002714,Chemical
N1971,mesenteric veins,D008642,Anatomy
N1972,"aortic stenosis, subvalvular",D001020,Disease
N1973,"cardiomyopathy, hypertrophic",D002312,Disease
N1974,acidosis,D000138,Disease
N1975,alkalosis,D000471,Disease
N1976,oxyhemoglobins,D010108,Chemical
N1977,moscow,D009031,Other
N1978,oxygen inhalation therapy,D010102,Technique
N1979,plasma substitutes,D010952,Chemical
N1980,sympatholytics,D013565,Chemical
N1981,blood chemical analysis,D001774,Technique
N1982,"microscopy, electron, scanning",D008855,Technique
N1983,"oxygenators, membrane",D010107,Technique
N1984,surface properties,D013499,Biological_Process
N1985,anesthetics,D000777,Chemical
N1986,metaproterenol,D009921,Chemical
N1987,propiophenones,D011427,Chemical
N1988,sinoatrial node,D012849,Anatomy
N1989,asphyxia neonatorum,D001238,Disease
N1990,basal ganglia,D001479,Anatomy
N1991,primates,D011323,Other
N1992,hepatitis b antigens,D006511,Chemical
N1993,cell membrane permeability,D002463,Biological_Process
N1994,central venous pressure,D002496,Biological_Process
N1995,lymph,D008196,Anatomy
N1996,lymphatic system,D008208,Anatomy
N1997,proteins,D011506,Chemical
N1998,dibenzylchlorethamine,D003983,Chemical
N1999,vasopressins,D014667,Chemical
N2000,butylamines,D002082,Chemical
N2001,cyclopentanes,D003517,Chemical
N2002,benzimidazoles,D001562,Chemical
N2003,dioxanes,D004146,Chemical
N2004,propylamines,D011437,Chemical
N2005,thiophenes,D013876,Chemical
N2006,postoperative pain,D010149,Disease
N2007,absorption,D000042,Biological_Process
N2008,"anesthetics, local",D000779,Chemical
N2009,bupivacaine,D002045,Chemical
N2010,erythrocyte count,D004906,Technique
N2011,air,D000388,Biological_Process
N2012,compliance,D003187,Biological_Process
N2013,nitrogen,D009584,Chemical
N2014,"injections, intra-arterial",D007269,Technique
N2015,tetrodotoxin,D013779,Chemical
N2016,cerebrovascular circulation,D002560,Biological_Process
N2017,macroglobulins,D008259,Chemical
N2018,viscosity,D014783,Biological_Process
N2019,pancreas,D010179,Anatomy
N2020,pancreatic elastase,D010196,Chemical
N2021,trypsin,D014357,Chemical
N2022,diphtheria,D004165,Disease
N2023,echinococcosis,D004443,Disease
N2024,gaucher disease,D005776,Disease
N2025,histoplasmosis,D006660,Disease
N2026,myxoma,D009232,Disease
N2027,rhabdomyoma,D012207,Disease
N2028,rheumatic heart disease,D012214,Disease
N2029,"syphilis, cardiovascular",D013589,Disease
N2030,"syphilis, congenital",D013590,Disease
N2031,talc,D013627,Chemical
N2032,teratoma,D013724,Disease
N2033,morphine,D009020,Chemical
N2034,crohn disease,D003424,Disease
N2035,anura,D001001,Other
N2036,electric conductivity,D004553,Biological_Process
N2037,airway resistance,D000403,Technique
N2038,attitude,D001290,Other
N2039,cattle diseases,D002418,Disease
N2040,adenosine monophosphate,D000249,Chemical
N2041,anaerobiosis,D000693,Biological_Process
N2042,demyelinating diseases,D003711,Disease
N2043,"encephalomyelitis, acute disseminated",D004673,Disease
N2044,measles,D008457,Disease
N2045,mumps,D009107,Disease
N2046,rubella,D012409,Disease
N2047,atmospheric pressure,D001274,Biological_Process
N2048,hexamethonium compounds,D006584,Chemical
N2049,indenes,D007192,Chemical
N2050,stereoisomerism,D013237,Biological_Process
N2051,dihydroxyphenylalanine,D004295,Chemical
N2052,homovanillic acid,D006719,Chemical
N2053,death certificates,D003644,Technique
N2054,fatty liver,D005234,Disease
N2055,forensic medicine,D005554,Other
N2056,homicide,D006708,Other
N2057,social class,D012923,Other
N2058,internal mammary-coronary artery anastomosis,D007387,Technique
N2059,myocardial revascularization,D009204,Technique
N2060,mammary arteries,D008323,Anatomy
N2061,suture techniques,D013536,Technique
N2062,auscultation,D001314,Technique
N2063,croup,D003440,Disease
N2064,fatigue,D005221,Disease
N2065,"intubation, intratracheal",D007442,Technique
N2066,laryngitis,D007827,Disease
N2067,south africa,D013019,Other
N2068,pia mater,D010841,Anatomy
N2069,subarachnoid hemorrhage,D013345,Disease
N2070,fetal diseases,D005315,Disease
N2071,uterine contraction,D014590,Biological_Process
N2072,fetal death,D005313,Disease
N2073,fetal distress,D005316,Disease
N2074,fetal heart,D005318,Anatomy
N2075,infant mortality,D007226,Technique
N2076,"labor, obstetric",D007743,Biological_Process
N2077,parasympathetic nervous system,D010275,Anatomy
N2078,ventricular function,D016276,Biological_Process
N2079,immunosuppressive agents,D007166,Chemical
N2080,fibrous dysplasia of bone,D005357,Disease
N2081,fundus oculi,D005654,Anatomy
N2082,kidney function tests,D007677,Technique
N2083,work capacity evaluation,D014938,Technique
N2084,emphysema,D004646,Disease
N2085,"fractures, closed",D005596,Disease
N2086,hemothorax,D006491,Disease
N2087,pneumothorax,D011030,Disease
N2088,pulmonary atelectasis,D001261,Disease
N2089,rib fractures,D012253,Disease
N2090,"anesthesia, obstetrical",D000773,Technique
N2091,apgar score,D001034,Technique
N2092,brachial artery,D001916,Anatomy
N2093,cesarean section,D002585,Technique
N2094,obstetric labor complications,D007744,Disease
N2095,"pregnancy, multiple",D011272,Biological_Process
N2096,granulomatosis with polyangiitis,D014890,Disease
N2097,iga vasculitis,D011695,Disease
N2098,amitriptyline,D000639,Chemical
N2099,anxiety,D001007,Other
N2100,arousal,D001143,Other
N2101,"conditioning, operant",D003216,Other
N2102,digitoxin,D004074,Chemical
N2103,feedback,D005246,Other
N2104,impulsive behavior,D007175,Other
N2105,internal-external control,D007389,Other
N2106,motor skills,D009048,Other
N2107,personality,D010551,Other
N2108,"transfer, psychology",D014163,Other
N2109,blood donors,D001782,Other
N2110,carrier state,D002353,Other
N2111,cells,D002477,Anatomy
N2112,hepatitis b,D006509,Disease
N2113,switzerland,D013557,Other
N2114,thrombocytopenia,D013921,Disease
N2115,colostrum,D003126,Anatomy
N2116,placenta,D010920,Anatomy
N2117,"pregnancy complications, infectious",D011251,Disease
N2118,umbilical cord,D014470,Anatomy
N2119,triolein,D014304,Chemical
N2120,exudates and transudates,D005122,Anatomy
N2121,hindlimb,D006614,Anatomy
N2122,cyanosis,D003490,Disease
N2123,aspartic acid,D001224,Chemical
N2124,butyrates,D002087,Chemical
N2125,pyruvates,D011773,Chemical
N2126,betamethasone,D001623,Chemical
N2127,urination,D014554,Biological_Process
N2128,biliary tract diseases,D001660,Disease
N2129,gamma-glutamyltransferase,D005723,Chemical
N2130,methoxamine,D008729,Chemical
N2131,blood transfusion,D001803,Technique
N2132,calcium chloride,D002122,Chemical
N2133,hypocalcemia,D006996,Disease
N2134,fibrinolysin,D005341,Chemical
N2135,plasminogen,D010958,Chemical
N2136,"pregnancy trimester, first",D011261,Biological_Process
N2137,streptokinase,D013300,Chemical
N2138,amino acid oxidoreductases,D000594,Chemical
N2139,dermatan sulfate,D003871,Chemical
N2140,protein-lysine 6-oxidase,D008249,Chemical
N2141,heart function tests,D006334,Technique
N2142,electrolysis,D004572,Technique
N2143,isotope labeling,D007553,Technique
N2144,accidents,D000059,Other
N2145,missouri,D008923,Other
N2146,"outpatient clinics, hospital",D010044,Other
N2147,suicide,D013405,Other
N2148,"suicide, attempted",D013406,Other
N2149,urban population,D014505,Other
N2150,longevity,D008136,Biological_Process
N2151,endarterectomy,D004691,Technique
N2152,iothalamic acid,D007483,Chemical
N2153,procainamide,D011342,Chemical
N2154,cholecystectomy,D002763,Technique
N2155,esophagus,D004947,Anatomy
N2156,sutures,D013537,Technique
N2157,autoanalysis,D001322,Technique
N2158,gout,D006073,Disease
N2159,hydrogen peroxide,D006861,Chemical
N2160,peroxidases,D010544,Chemical
N2161,phosphotungstic acid,D010772,Chemical
N2162,urate oxidase,D014503,Chemical
N2163,canrenoic acid,D002191,Chemical
N2164,hyperkalemia,D006947,Disease
N2165,dilatation,D004106,Technique
N2166,labor onset,D007745,Biological_Process
N2167,"labor stage, third",D007749,Biological_Process
N2168,nerve endings,D009411,Anatomy
N2169,drug stability,D004355,Technique
N2170,tears,D013666,Anatomy
N2171,reflex,D012018,Technique
N2172,valsalva maneuver,D014636,Technique
N2173,acetazolamide,D000086,Chemical
N2174,cholestasis,D002779,Disease
N2175,enzyme induction,D004790,Biological_Process
N2176,"autonomic fibers, postganglionic",D001338,Anatomy
N2177,"autonomic fibers, preganglionic",D001339,Anatomy
N2178,deslanoside,D003892,Chemical
N2179,lanatosides,D007799,Chemical
N2180,parasympathomimetics,D010277,Chemical
N2181,lip neoplasms,D008048,Disease
N2182,multiple endocrine neoplasia,D009377,Disease
N2183,neuroma,D009463,Disease
N2184,parathyroid diseases,D010279,Disease
N2185,parathyroid glands,D010280,Anatomy
N2186,thyroidectomy,D013965,Technique
N2187,tongue neoplasms,D014062,Disease
N2188,arteriosclerosis obliterans,D001162,Disease
N2189,steroids,D013256,Chemical
N2190,thromboangiitis obliterans,D013919,Disease
N2191,zinc,D015032,Chemical
N2192,bromides,D001965,Chemical
N2193,consciousness,D003243,Other
N2194,amobarbital,D000654,Chemical
N2195,bemegride,D001534,Chemical
N2196,ethanolamines,D004983,Chemical
N2197,nicergoline,D009530,Chemical
N2198,papaverine,D010208,Chemical
N2199,nitrates,D009566,Chemical
N2200,nitrites,D009573,Chemical
N2201,automobile driving,D001334,Other
N2202,phenylacetates,D010648,Chemical
N2203,self-assessment,D012647,Other
N2204,task performance and analysis,D013647,Other
N2205,bile ducts,D001652,Anatomy
N2206,bulgaria,D002031,Other
N2207,diabetic nephropathies,D003928,Disease
N2208,"kidney diseases, cystic",D052177,Disease
N2209,nephritis,D009393,Disease
N2210,hepatitis b virus,D006515,Other
N2211,hepatovirus,D006507,Other
N2212,"chromosomes, human, 1-3",D002900,Anatomy
N2213,"chromosomes, human, 4-5",D002905,Anatomy
N2214,clubfoot,D003025,Disease
N2215,eye abnormalities,D005124,Disease
N2216,hypogonadism,D007006,Disease
N2217,psychomotor disorders,D011596,Disease
N2218,"reflex, abnormal",D012021,Disease
N2219,"translocation, genetic",D014178,Disease
N2220,micropore filters,D008851,Technique
N2221,polyethylene terephthalates,D011093,Chemical
N2222,polymers,D011108,Chemical
N2223,eosinophilic granuloma,D004803,Disease
N2224,spinal cord neoplasms,D013120,Disease
N2225,myasthenia gravis,D009157,Disease
N2226,thymectomy,D013934,Technique
N2227,bed rest,D001510,Technique
N2228,rest,D012146,Other
N2229,false negative reactions,D005188,Technique
N2230,length of stay,D007902,Technique
N2231,"lung diseases, obstructive",D008173,Disease
N2232,counterimmunoelectrophoresis,D003378,Technique
N2233,epitopes,D000939,Chemical
N2234,"cardiac complexes, premature",D005117,Disease
N2235,disopyramide,D004206,Chemical
N2236,iothalamate meglumine,D007482,Chemical
N2237,palliative care,D010166,Technique
N2238,transposition of great vessels,D014188,Disease
N2239,sinoatrial block,D012848,Disease
N2240,statistics as topic,D013223,Technique
N2241,cineangiography,D002932,Technique
N2242,levocardia,D007979,Disease
N2243,axonal transport,D001370,Biological_Process
N2244,ciliary body,D002924,Anatomy
N2245,ophthalmoscopy,D009887,Technique
N2246,optic disk,D009898,Anatomy
N2247,optic nerve,D009900,Anatomy
N2248,dicumarol,D001728,Chemical
N2249,rheology,D012212,Technique
N2250,"hearing loss, noise-induced",D006317,Disease
N2251,"contraceptives, oral, hormonal",D003278,Chemical
N2252,fibrin fibrinogen degradation products,D005338,Chemical
N2253,mast cells,D008407,Anatomy
N2254,staining and labeling,D013194,Technique
N2255,hematoxylin,D006416,Chemical
N2256,picrates,D010851,Chemical
N2257,rosaniline dyes,D012394,Chemical
N2258,antithrombins,D000991,Chemical
N2259,complement c1 inactivator proteins,D003174,Chemical
N2260,alpha 1-antitrypsin,D000515,Chemical
N2261,alpha-macroglobulins,D000511,Chemical
N2262,femoral neck fractures,D005265,Disease
N2263,hip injuries,D025981,Disease
N2264,surveys and questionnaires,D011795,Technique
N2265,bendroflumethiazide,D001539,Chemical
N2266,cataract,D002386,Disease
N2267,england,D004739,Other
N2268,"indians, north american",D007198,Other
N2269,occupations,D009790,Other
N2270,united kingdom,D006113,Other
N2271,drug eruptions,D003875,Disease
N2272,eye diseases,D005128,Disease
N2273,immunologic techniques,D007158,Technique
N2274,amino acid sequence,D000595,Biological_Process
N2275,bence jones protein,D001536,Chemical
N2276,immunochemistry,D007120,Other
N2277,immunoglobulin fragments,D007128,Chemical
N2278,molecular conformation,D008968,Biological_Process
N2279,bleomycin,D001761,Chemical
N2280,gallium radioisotopes,D005710,Chemical
N2281,indium,D007204,Chemical
N2282,prostatic neoplasms,D011471,Disease
N2283,burns,D002056,Disease
N2284,"burns, inhalation",D002059,Disease
N2285,hyalin,D006818,Anatomy
N2286,pulmonary alveolar proteinosis,D011649,Disease
N2287,pulmonary alveoli,D011650,Anatomy
N2288,pulmonary fibrosis,D011658,Disease
N2289,respiratory distress syndrome,D012128,Disease
N2290,"shock, surgical",D012773,Disease
N2291,"germany, west",D005860,Other
N2292,physical education and training,D010806,Other
N2293,anaphylaxis,D000707,Disease
N2294,histamine release,D006636,Biological_Process
N2295,"adjuvants, pharmaceutic",D000277,Chemical
N2296,arteriovenous anastomosis,D001163,Anatomy
N2297,adrenergic agents,D018663,Chemical
N2298,labetalol,D007741,Chemical
N2299,acoustic stimulation,D000161,Technique
N2300,auditory pathways,D001306,Anatomy
N2301,encephalomalacia,D004678,Disease
N2302,pineal gland,D010870,Anatomy
N2303,tuberous sclerosis,D014402,Disease
N2304,vestibulocochlear nerve,D000159,Anatomy
N2305,hydroxyethyl starch derivatives,D006895,Chemical
N2306,immunoglobulin e,D007073,Chemical
N2307,starch,D013213,Chemical
N2308,audiovisual aids,D001296,Other
N2309,"medical staff, hospital",D008505,Other
N2310,semantics,D012660,Other
N2311,speech therapy,D013070,Technique
N2312,verbal behavior,D014705,Other
N2313,writing,D014956,Other
N2314,cyclopenthiazide,D003518,Chemical
N2315,bethanidine,D001627,Chemical
N2316,debrisoquin,D003647,Chemical
N2317,guanidines,D006146,Chemical
N2318,isoquinolines,D007546,Chemical
N2319,antimalarials,D000962,Chemical
N2320,procaine,D011343,Chemical
N2321,prostaglandin antagonists,D011448,Chemical
N2322,quinine,D011803,Chemical
N2323,xanthines,D014970,Chemical
N2324,cadmium,D002104,Chemical
N2325,temporal bone,D013701,Anatomy
N2326,arthritis,D001168,Disease
N2327,"arthritis, infectious",D001170,Disease
N2328,carpal tunnel syndrome,D002349,Disease
N2329,chondrocalcinosis,D002805,Disease
N2330,fibromyalgia,D005356,Disease
N2331,reflex sympathetic dystrophy,D012019,Disease
N2332,shoulder joint,D012785,Anatomy
N2333,tendinopathy,D052256,Disease
N2334,alpha-globulins,D000510,Chemical
N2335,"binding sites, antibody",D001666,Biological_Process
N2336,insulin antibodies,D007330,Chemical
N2337,eclampsia,D004461,Disease
N2338,estriol,D004964,Chemical
N2339,placenta diseases,D010922,Disease
N2340,placental lactogen,D010928,Chemical
N2341,alpha-fetoproteins,D000509,Chemical
N2342,"truncus arteriosus, persistent",D014339,Disease
N2343,"anemia, aplastic",D000741,Disease
N2344,ferritins,D005293,Chemical
N2345,hematologic diseases,D006402,Disease
N2346,hot temperature,D006358,Biological_Process
N2347,enterobacteriaceae,D004755,Other
N2348,hemolysis,D006461,Disease
N2349,streptococcus,D013291,Other
N2350,relaxation therapy,D012064,Technique
N2351,myotonic dystrophy,D009223,Disease
N2352,audiometry,D001299,Technique
N2353,hearing,D006309,Other
N2354,noise,D009622,Biological_Process
N2355,clot retraction,D003018,Technique
N2356,plasminogen activators,D010960,Chemical
N2357,serum globulins,D012712,Chemical
N2358,"amputation, surgical",D000671,Technique
N2359,popliteal artery,D011150,Anatomy
N2360,body constitution,D001824,Technique
N2361,educational status,D004522,Other
N2362,income,D007182,Other
N2363,recreation,D011998,Other
N2364,socioeconomic factors,D012959,Other
N2365,hypophysectomy,D007016,Technique
N2366,microsurgery,D008866,Technique
N2367,pituitary diseases,D010900,Disease
N2368,bronchitis,D001991,Disease
N2369,geriatrics,D005853,Other
N2370,prostatic hyperplasia,D011470,Disease
N2371,tracheitis,D014136,Disease
N2372,strophanthidin,D013327,Chemical
N2373,agammaglobulinemia,D000361,Disease
N2374,sulfonamides,D013449,Chemical
N2375,thymus gland,D013950,Anatomy
N2376,thyroid gland,D013961,Anatomy
N2377,"antibodies, anti-idiotypic",D000888,Chemical
N2378,immunoglobulin fab fragments,D007140,Chemical
N2379,"serum albumin, bovine",D012710,Chemical
N2380,prenylamine,D011299,Chemical
N2381,naphthalenes,D009281,Chemical
N2382,pulmonary valve,D011664,Anatomy
N2383,dactinomycin,D003609,Chemical
N2384,hyperbilirubinemia,D006932,Disease
N2385,"infant, low birth weight",D007230,Other
N2386,"radiography, thoracic",D013902,Technique
N2387,"respiratory distress syndrome, newborn",D012127,Disease
N2388,kidney calculi,D007669,Disease
N2389,potassium magnesium aspartate,D011195,Chemical
N2390,"refractory period, electrophysiological",D012032,Biological_Process
N2391,physical fitness,D010809,Biological_Process
N2392,ultrasonics,D014465,Other
N2393,venous pressure,D014690,Biological_Process
N2394,"immunoelectrophoresis, two-dimensional",D007123,Technique
N2395,thorax,D013909,Anatomy
N2396,abo blood-group system,D000017,Chemical
N2397,australia,D001315,Other
N2398,water supply,D014881,Other
N2399,placental function tests,D010925,Technique
N2400,placental insufficiency,D010927,Disease
N2401,"pregnancy trimester, third",D011263,Biological_Process
N2402,"child, institutionalized",D002674,Other
N2403,corynebacterium diphtheriae,D003353,Other
N2404,diphtheria antitoxin,D004166,Chemical
N2405,disease outbreaks,D004196,Other
N2406,gamma-globulins,D005719,Chemical
N2407,"arteriovenous shunt, surgical",D001166,Technique
N2408,chemistry,D002621,Other
N2409,coagulants,D003029,Chemical
N2410,endopeptidases,D010450,Chemical
N2411,hyphema,D006988,Disease
N2412,urokinase-type plasminogen activator,D014568,Chemical
N2413,colitis,D003092,Disease
N2414,"colitis, ulcerative",D003093,Disease
N2415,colon,D003106,Anatomy
N2416,dysentery,D004403,Disease
N2417,whipple disease,D008061,Disease
N2418,antidepressive agents,D000928,Chemical
N2419,biotransformation,D001711,Biological_Process
N2420,albumins,D000418,Chemical
N2421,"brain damage, chronic",D001925,Disease
N2422,intervertebral disc displacement,D007405,Disease
N2423,myelin basic protein,D004676,Chemical
N2424,sepharose,D012685,Chemical
N2425,"purpura, thrombocytopenic",D011696,Disease
N2426,antibody formation,D000917,Biological_Process
N2427,immune adherence reaction,D007104,Technique
N2428,brain mapping,D001931,Technique
N2429,chinchilla,D002682,Other
N2430,emotions,D004644,Other
N2431,dna replication,D004261,Biological_Process
N2432,dermatoglyphics,D003878,Technique
N2433,heterochromatin,D006570,Anatomy
N2434,sex chromosomes,D012730,Anatomy
N2435,hyaline membrane disease,D006819,Disease
N2436,metaplasia,D008679,Disease
N2437,delta rhythm,D003700,Technique
N2438,diencephalon,D004027,Anatomy
N2439,cortical synchronization,D003344,Technique
N2440,hippocampus,D006624,Anatomy
N2441,movement,D009068,Biological_Process
N2442,nasal cavity,D009296,Anatomy
N2443,theta rhythm,D013826,Technique
N2444,"chromatography, affinity",D002846,Technique
N2445,hemophilia a,D006467,Disease
N2446,alzheimer disease,D000544,Disease
N2447,dementia,D003704,Disease
N2448,autolysis,D001329,Disease
N2449,bacteriolysis,D001433,Biological_Process
N2450,cephalothin,D002512,Chemical
N2451,methicillin,D008712,Chemical
N2452,nafcillin,D009254,Chemical
N2453,osteomyelitis,D010019,Disease
N2454,penicillin resistance,D010403,Biological_Process
N2455,penicillins,D010406,Chemical
N2456,"pneumonia, staphylococcal",D011023,Disease
N2457,staphylococcal infections,D013203,Disease
N2458,staphylococcus aureus,D013211,Other
N2459,vancomycin,D014640,Chemical
N2460,cellulose,D002482,Chemical
N2461,dietary fiber,D004043,Chemical
N2462,edible grain,D002523,Anatomy
N2463,flour,D005433,Biological_Process
N2464,pectins,D010368,Chemical
N2465,silicon,D012825,Chemical
N2466,glycine max,D013025,Other
N2467,oculomotor muscles,D009801,Anatomy
N2468,oscillometry,D009991,Technique
N2469,reticular formation,D012154,Anatomy
N2470,unconsciousness,D014474,Disease
N2471,allied health personnel,D000488,Other
N2472,ambulances,D000552,Other
N2473,physicians,D010820,Other
N2474,transportation of patients,D014187,Technique
N2475,workforce,D000078329,Other
N2476,international cooperation,D007391,Other
N2477,ireland,D007494,Other
N2478,nitroblue tetrazolium,D009580,Chemical
N2479,tetrazolium salts,D013778,Chemical
N2480,cell movement,D002465,Biological_Process
N2481,decerebrate state,D003655,Disease
N2482,midodrine,D008879,Chemical
N2483,aortic valve insufficiency,D001022,Disease
N2484,birefringence,D001718,Biological_Process
N2485,ancrod,D000721,Chemical
N2486,brain concussion,D001924,Disease
N2487,pyridoxine,D011736,Chemical
N2488,vitamin b 6 deficiency,D026681,Disease
N2489,denmark,D003718,Other
N2490,"spectrophotometry, atomic",D013054,Technique
N2491,blood cell count,D001772,Technique
N2492,amenorrhea,D000568,Disease
N2493,paraneoplastic endocrine syndromes,D009384,Disease
N2494,defecation,D003672,Biological_Process
N2495,tanzania,D013636,Other
N2496,uganda,D014454,Other
N2497,community participation,D003256,Other
N2498,contracture,D003286,Disease
N2499,patient care planning,D010347,Other
N2500,perioperative nursing,D013527,Technique
N2501,pressure ulcer,D003668,Disease
N2502,sick role,D012803,Other
N2503,cerebellar ataxia,D002524,Disease
N2504,eye manifestations,D005132,Disease
N2505,hearing disorders,D006311,Disease
N2506,olfaction disorders,D000857,Disease
N2507,phytanic acid,D010831,Chemical
N2508,phytol,D010836,Chemical
N2509,refsum disease,D012035,Disease
N2510,"surgical procedures, operative",D013514,Technique
N2511,edrophonium,D004491,Chemical
N2512,propantheline,D011413,Chemical
N2513,pyridostigmine bromide,D011729,Chemical
N2514,amyl nitrite,D000680,Chemical
N2515,heart murmurs,D006337,Disease
N2516,heart sounds,D006347,Biological_Process
N2517,heart valve diseases,D006349,Disease
N2518,amidines,D000578,Chemical
N2519,"pituitary hormones, posterior",D010909,Chemical
N2520,thiourea,D013890,Chemical
N2521,lanthanum,D007811,Chemical
N2522,basement membrane,D001485,Anatomy
N2523,amikacin,D000583,Chemical
N2524,aminoglycosides,D000617,Chemical
N2525,butirosin sulfate,D002076,Chemical
N2526,enterococcus faecalis,D013293,Other
N2527,kanamycin,D007612,Chemical
N2528,sisomicin,D012853,Chemical
N2529,streptomycin,D013307,Chemical
N2530,b-lymphocytes,D001402,Anatomy
N2531,bone marrow cells,D001854,Anatomy
N2532,"cytotoxicity tests, immunologic",D003601,Technique
N2533,"lymphocyte culture test, mixed",D007959,Technique
N2534,polyradiculopathy,D011128,Disease
N2535,asparagine,D001216,Chemical
N2536,haptoglobins,D006242,Chemical
N2537,mucoproteins,D009088,Chemical
N2538,transaminases,D000637,Chemical
