node_id,node_name,mesh_ui,node_type
N171,microtubules,D008870,Anatomy
N172,acid phosphatase,D000135,Chemical
N173,alkaline phosphatase,D000469,Chemical
N174,cholinesterases,D002802,Chemical
N175,cytochromes,D003580,Chemical
N176,electron transport complex iv,D003576,Chemical
N177,glutamate dehydrogenase,D005969,Chemical
N178,glutamates,D005971,Chemical
N179,glycerolphosphate dehydrogenase,D005993,Chemical
N180,glycerophosphates,D005994,Chemical
N181,heart conduction system,D006329,Anatomy
N182,l-lactate dehydrogenase,D007770,Chemical
N183,lactates,D007773,Chemical
N184,malate dehydrogenase,D008291,Chemical
N185,malates,D008293,Chemical
N186,monoamine oxidase,D008995,Chemical
N187,nadph dehydrogenase,D009252,Chemical
N188,succinate dehydrogenase,D013385,Chemical
N189,succinates,D013386,Chemical
N190,aorta,D001011,Anatomy
N191,glycosaminoglycans,D006025,Chemical
N192,cholesterol esters,D002788,Chemical
N193,coronary vessels,D003331,Anatomy
N194,"diet, atherogenic",D004036,Biological_Process
N195,gallic acid,D005707,Chemical
N196,nicotinic acids,D009539,Chemical
N197,nicotinyl alcohol,D009540,Chemical
N198,pyridines,D011725,Chemical
N199,xanthinol niacinate,D014971,Chemical
N200,calcium,D002118,Chemical
N201,crystallization,D003460,Technique
N202,"dose-response relationship, drug",D004305,Biological_Process
N203,liposomes,D008081,Chemical
N204,myelin proteins,D009185,Chemical
N205,phosphatidylcholines,D010713,Chemical
N206,phospholipases,D010740,Chemical
N207,phospholipids,D010743,Chemical
N208,angina pectoris,D000787,Disease
N209,colestipol,D003084,Chemical
N210,dietary carbohydrates,D004040,Chemical
N211,dietary fats,D004041,Chemical
N212,drug evaluation,D004341,Technique
N213,follow-up studies,D005500,Technique
N214,patient compliance,D010349,Other
N215,polyamines,D011073,Chemical
N216,xanthomatosis,D014973,Disease
N217,blood pressure,D001794,Technique
N218,"cardiac pacing, artificial",D002304,Technique
N219,collateral circulation,D003097,Biological_Process
N220,"injections, intravenous",D007275,Technique
N221,microspheres,D008863,Technique
N222,propranolol,D011433,Chemical
N223,"receptors, adrenergic",D011941,Chemical
N224,"receptors, adrenergic, beta",D011943,Chemical
N225,"animals, newborn",D000831,Other
N226,coxsackievirus infections,D003384,Disease
N227,"enterovirus b, human",D029822,Other
N228,heart aneurysm,D006322,Disease
N229,mice,D051379,Other
N230,myocarditis,D009205,Disease
N231,amniotic fluid,D000653,Anatomy
N232,"cells, cultured",D002478,Anatomy
N233,fabry disease,D000795,Disease
N234,fibroblasts,D005347,Anatomy
N235,gangliosidoses,D005733,Disease
N236,hexosaminidases,D006596,Chemical
N237,pregnancy,D011247,Biological_Process
N238,prenatal diagnosis,D011296,Technique
N239,tay-sachs disease,D013661,Disease
N240,alpha-galactosidase,D000519,Chemical
N241,beta-galactosidase,D001616,Chemical
N242,adrenocorticotropic hormone,D000324,Chemical
N243,angiotensin ii,D000804,Chemical
N244,drug interactions,D004347,Biological_Process
N245,norepinephrine,D009638,Chemical
N246,sheep,D012756,Other
N247,sodium,D012964,Chemical
N248,tyramine,D014439,Chemical
N249,clonidine,D003000,Chemical
N250,"depression, chemical",D003864,Biological_Process
N251,prazosin,D011224,Chemical
N252,quinazolines,D011799,Chemical
N253,"receptors, adrenergic, alpha",D011942,Chemical
N254,adrenal glands,D000311,Anatomy
N255,desoxycorticosterone,D003900,Chemical
N256,myometrium,D009215,Anatomy
N257,"receptors, angiotensin",D011945,Chemical
N258,"receptors, cell surface",D011956,Chemical
N259,sodium chloride,D012965,Chemical
N260,uterus,D014599,Anatomy
N261,antigen-antibody reactions,D000937,Biological_Process
N262,indomethacin,D007213,Chemical
N263,peptide hydrolases,D010447,Chemical
N264,protease inhibitors,D011480,Chemical
N265,angiotensin-converting enzyme inhibitors,D000806,Chemical
N266,diuretics,D004232,Chemical
N267,"drug therapy, combination",D004359,Technique
N268,proline,D011392,Chemical
N269,"biological transport, active",D001693,Biological_Process
N270,ouabain,D010042,Chemical
N271,potassium,D011188,Chemical
N272,rubidium,D012413,Chemical
N273,sodium-potassium-exchanging atpase,D000254,Chemical
N274,kidney,D007668,Anatomy
N275,diabetes mellitus,D003920,Disease
N276,protein binding,D011485,Biological_Process
N277,albuterol,D000420,Chemical
N278,atenolol,D001262,Chemical
N279,electrocardiography,D004562,Technique
N280,isoproterenol,D007545,Chemical
N281,arachidonic acids,D001095,Chemical
N282,aspirin,D001241,Chemical
N283,blood coagulation,D001777,Biological_Process
N284,blood platelets,D001792,Anatomy
N285,blood vessels,D001808,Anatomy
N286,dipyridamole,D004176,Chemical
N287,epoprostenol,D011464,Chemical
N288,linolenic acids,D008042,Chemical
N289,platelet aggregation,D010974,Biological_Process
N290,prostaglandin-endoperoxide synthases,D011451,Chemical
N291,prostaglandins,D011453,Chemical
N292,thrombosis,D013927,Disease
N293,thromboxane a2,D013928,Chemical
N294,vasodilation,D014664,Biological_Process
N295,adenosine triphosphatases,D000251,Chemical
N296,cardiac output,D002302,Technique
N297,muscles,D009132,Anatomy
N298,cardiovascular system,D002319,Anatomy
N299,histocytochemistry,D006651,Technique
N300,immunoenzyme techniques,D007124,Technique
N301,procollagen-proline dioxygenase,D011393,Chemical
N302,adolescent,D000293,Other
N303,aldosterone,D000450,Chemical
N304,body weight,D001835,Disease
N305,pregnanolone,D011280,Chemical
N306,arteriovenous malformations,D001165,Disease
N307,assisted circulation,D001243,Technique
N308,ataxia telangiectasia,D001260,Disease
N309,cell line,D002460,Anatomy
N310,dna repair,D004260,Biological_Process
N311,"dna topoisomerases, type i",D004264,Chemical
N312,endonucleases,D004720,Chemical
N313,bradycardia,D001919,Disease
N314,brain injuries,D001930,Disease
N315,circadian rhythm,D002940,Biological_Process
N316,mannitol,D008353,Chemical
N317,pentobarbital,D010424,Chemical
N318,"sleep, rem",D012895,Other
N319,mixed connective tissue disease,D008947,Disease
N320,raynaud disease,D011928,Disease
N321,trigeminal nerve,D014276,Anatomy
N322,europe,D005060,Other
N323,vascular diseases,D014652,Disease
N324,fatty acids,D005227,Chemical
N325,"fatty acids, unsaturated",D005231,Chemical
N326,intestinal absorption,D007408,Biological_Process
N327,scotland,D012606,Other
N328,smoking,D012907,Other
N329,antihypertensive agents,D000959,Chemical
N330,hemodynamics,D006439,Biological_Process
N331,propanolamines,D011412,Chemical
N332,timolol,D013999,Chemical
N333,"infusions, parenteral",D007263,Technique
N334,nitroglycerin,D005996,Chemical
N335,nitroprusside,D009599,Chemical
N336,phentolamine,D010646,Chemical
N337,acebutolol,D000070,Chemical
N338,ambulatory care,D000553,Technique
N339,long-term care,D008134,Technique
N340,amyloidosis,D000686,Disease
N341,hypoglossal nerve,D007002,Anatomy
N342,immunoglobulin d,D007072,Chemical
N343,immunologic deficiency syndromes,D007153,Disease
N344,neuritis,D009443,Disease
N345,paralysis,D010243,Disease
N346,paraproteinemias,D010265,Disease
N347,"arrhythmias, cardiac",D001145,Disease
N348,guinea pigs,D006168,Other
N349,quinidine,D011802,Chemical
N350,liver cirrhosis,D008103,Disease
N351,pancreatic diseases,D010182,Disease
N352,sclerosis,D012598,Disease
N353,"stimulation, chemical",D013268,Biological_Process
N354,dyspnea,D004417,Disease
N355,hodgkin disease,D006689,Disease
N356,mitral valve insufficiency,D008944,Disease
N357,"pericarditis, constrictive",D010494,Disease
N358,pleural effusion,D010996,Disease
N359,exercise test,D005080,Technique
N360,prognosis,D011379,Technique
N361,antineoplastic agents,D000970,Chemical
N362,"carcinoma, small cell",D018288,Disease
N363,cyclophosphamide,D003520,Chemical
N364,lomustine,D008130,Chemical
N365,lymphatic metastasis,D008207,Disease
N366,methotrexate,D008727,Chemical
N367,"vena cava, superior",D014683,Anatomy
N368,vincristine,D014750,Chemical
N369,aging,D000375,Biological_Process
